category	provider	model_files	endpoint	env	note
open+price	poe	137	https://api.poe.com/v1/models	POE_API_KEY	prices inline, no key
open+price	zenmux	120	https://zenmux.ai/api/v1/models	ZENMUX_API_KEY	prices inline, no key
open+price	orcarouter	117	https://api.orcarouter.ai/v1/models	ORCAROUTER_API_KEY	prices inline, no key
open+price	novita-ai	107	https://api.novita.ai/openai/models	NOVITA_API_KEY	prices inline, no key
open+price	impossibl	76	https://api.impossibl.com/v1/models	IMPOSSIBL_API_KEY	prices inline, no key
open+price	jiekou	61	https://api.jiekou.ai/openai/models	JIEKOU_API_KEY	prices inline, no key
open+price	kenari	59	https://kenari.id/v1/models	KENARI_API_KEY	prices inline, no key
open+price	fastrouter	47	https://go.fastrouter.ai/api/v1/models	FASTROUTER_API_KEY	prices inline, no key
open+price	nearai	37	https://cloud-api.near.ai/v1/models	NEARAI_API_KEY	prices inline, no key
open+price	llmtr	32	https://llmtr.com/v1/models	LLMTR_API_KEY	prices inline, no key
open+price	crof	23	https://crof.ai/v1/models	CROF_API_KEY	prices inline, no key
open+price	neuralwatt	21	https://api.neuralwatt.com/v1/models	NEURALWATT_API_KEY	prices inline, no key
open+price	meganova	19	https://api.meganova.ai/v1/models	MEGANOVA_API_KEY	prices inline, no key
open+price	io-net	17	https://api.intelligence.io.solutions/api/v1/models	IOINTELLIGENCE_API_KEY	prices inline, no key
open+price	routing-run	15	https://api.routing.run/v1/models	ROUTING_RUN_API_KEY	prices inline, no key
open+price	xpersona	13	https://www.xpersona.co/v1/models	XPERSONA_API_KEY	prices inline, no key
open+price	berget	11	https://api.berget.ai/v1/models	BERGET_API_KEY	prices inline, no key
open+price	vultr	10	https://api.vultrinference.com/v1/models	VULTR_API_KEY	prices inline, no key
open+price	synthetic	9	https://api.synthetic.new/openai/v1/models	SYNTHETIC_API_KEY	prices inline, no key
open+price	the-grid-ai	9	https://api.thegrid.ai/v1/models	THEGRID_API_KEY	prices inline, no key
open+price	umans-ai-coding-plan	8	https://api.code.umans.ai/v1/models	UMANS_AI_CODING_PLAN_API_KEY	prices inline, no key
open+price	trustedrouter	7	https://api.trustedrouter.com/v1/models	TRUSTEDROUTER_API_KEY	prices inline, no key
open+price	umans-ai	7	https://api.code.umans.ai/v1/models	UMANS_AI_API_KEY	prices inline, no key
open+price	friendli	6	https://api.friendli.ai/serverless/v1/models	FRIENDLI_TOKEN	prices inline, no key
open+price	wafer.ai	5	https://pass.wafer.ai/v1/models	WAFER_API_KEY	prices inline, no key
open+price	lilac	4	https://api.getlilac.com/v1/models	LILAC_API_KEY	prices inline, no key
open+price	inception	2	https://api.inceptionlabs.ai/v1/models	INCEPTION_API_KEY	prices inline, no key
open+price	iteracompute	2	https://api.iteracompute.com/v1/models	ITERACOMPUTE_API_KEY	prices inline, no key
open+price	kosmik	1	https://api.koscompute.com/v1/models	KOSMIK_API_KEY	prices inline, no key
open+price	llmtech	1	https://api.llmtech.eu/v1/models	LLMTECH_API_KEY	prices inline, no key
open+ids	abacus	108	https://routellm.abacus.ai/v1/models	ABACUS_API_KEY	open list, no cost fields
open+ids	nvidia	103	https://integrate.api.nvidia.com/v1/models	NVIDIA_API_KEY	open list, no cost fields
open+ids	opencode	95	https://opencode.ai/zen/v1/models	OPENCODE_API_KEY	open list, no cost fields
open+ids	qiniu-ai	91	https://api.qnaigc.com/v1/models	QINIU_API_KEY	open list, no cost fields
open+ids	helicone	90	https://ai-gateway.helicone.ai/v1/models	HELICONE_API_KEY	open list, no cost fields
open+ids	aihubmix	77	https://aihubmix.com/v1/models	AIHUBMIX_API_KEY	open list, no cost fields
open+ids	opencode-go	33	https://opencode.ai/zen/go/v1/models	OPENCODE_API_KEY	open list, no cost fields
open+ids	unorouter	23	https://api.unorouter.com/v1/models	UNOROUTER_API_KEY	open list, no cost fields
open+ids	ollama-cloud	22	https://ollama.com/v1/models	OLLAMA_API_KEY	open list, no cost fields
open+ids	regolo-ai	18	https://api.regolo.ai/v1/models	REGOLO_API_KEY	open list, no cost fields
open+ids	cline-pass	13	https://api.cline.bot/api/v1/models	CLINE_API_KEY	open list, no cost fields
open+ids	alibaba-coding-plan	12	https://coding-intl.dashscope.aliyuncs.com/v1/models	ALIBABA_CODING_PLAN_API_KEY	open list, no cost fields
open+ids	alibaba-coding-plan-cn	12	https://coding.dashscope.aliyuncs.com/v1/models	ALIBABA_CODING_PLAN_API_KEY	open list, no cost fields
